Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1891,233.9,173.6,154.4,157.5,270.2,138.8,135.7,217.7,165.2,192.1,179.3,179.6
1892,170.6,177.6,167.7,183.1,174.7,83.9,197.2,231.9,157.9,93.6,165.7,178.2
1893,171.4,159,206.3,206.1,180,179.1,267,213.2,151.9,133,195,234.1
1894,167.7,212.1,152.2,159.4,214.1,256.1,270.4,243.4,125.7,131.4,184.8,218.5
1895,205.5,235,163.8,232.1,222.9,203.8,122.3,193.8,169.2,147.4,166.5,206.7
1896,232,177.8,181.3,184.2,171.7,167.2,175.8,222.5,167,137.7,199,197.6
1897,162.6,166.1,153.8,174.7,224.9,157.7,156.7,165.8,122.6,183.1,165.7,212.7
1898,141.7,194.6,117.6,175.3,209.3,144.1,304.5,211.9,157.7,154.3,143.4,186.3
1899,224.1,176,217.4,189.7,220.7,162.6,131.9,235.4,106.5,184.3,201.8,173.3
1900,160.1,174.9,171.5,135.3,219,223.6,137.5,272,165.7,165.2,148.4,209.2
1901,163.4,208.8,230.1,192.6,191.4,145.7,122.5,230.4,169.5,128.6,191.8,215.1
1902,241.7,201,184.4,194.2,181.7,181.4,130.6,123.1,126.9,154.8,160.1,154.5
1903,156.9,176.6,146.4,145.1,184.7,192.1,154.3,259.3,127.5,119.6,163.3,207.9
1904,200.7,156.7,144.2,151.5,159.2,196.4,211.2,269,176.2,126.4,217.3,185.4
1905,178.8,207.8,184.9,151.8,177.2,89.9,154.9,113.9,167.2,159.2,170.1,133.7
1906,216.8,147.2,205,211.5,231.9,127.8,133.8,179,84.2,146.4,153.4,191.9
1907,136.4,192.6,152,189.4,236,154.9,187.7,196.4,159.9,202.4,124.9,207.1
1908,194.7,187.9,150.9,173.1,217.6,168.8,146.1,227,118.8,153.8,218.1,195.9
1909,148.2,194.5,136.9,215.5,208.3,103.8,197.8,212.2,130.9,149,178.8,209
1910,111.7,206.5,184.5,197.3,171,127.3,110.3,139.3,107.7,108.6,189.4,194
1911,166.1,169.3,152.3,211.2,222.1,130.8,172,201.7,146.5,136.5,173.8,172.9
1912,219.2,174.6,166.5,216.8,210.6,162.8,172.7,223.7,78.4,140.2,128.5,133.3
1913,205.7,153.1,216.5,158.5,224.8,156,156,211.2,138.1,120.1,152.1,201.7
1914,223.7,165.6,148.4,209.4,186.7,172.7,218.7,263.2,169.9,210.3,152.6,193.7
1915,169.2,130.8,217.8,134.2,212.8,169.9,221.3,138.5,132.7,126.4,147.9,206.3
1916,194.1,155.4,178.6,157.3,188.6,201.6,160.4,163.4,170.9,87.5,134.5,157.5
1917,213.9,202.3,187.4,210.9,238.3,152,240.7,186.8,85.3,112.2,184.9,231
1918,219.2,168.1,202.1,168.9,207.9,119.3,270,243.4,185.3,105.4,159.2,158.2
1919,147.5,159.5,190.3,214.2,224.4,151.4,189.2,214,165.7,140.6,101.6,194.6
1920,223.5,148.7,157.1,191.2,162.4,134.6,269.1,207.3,153.8,168.7,169.7,185.5
1921,202,207.1,209.1,174.8,180,109.1,201.1,211,118.4,138.9,232.2,185.5
1922,194.1,157.6,236.7,209,186.9,230.8,177.4,263.6,185,197.7,159.9,224.4
1923,183.7,118.5,189.2,155.1,127.5,121,139,232.3,133.2,147.2,150.9,156.1
1924,201.6,177.7,220,165.1,212.6,125.9,258.6,213.4,140.1,127.1,201.8,165.5
1925,184.1,157.9,229.2,167.3,180.9,143.7,195.7,196.1,160.8,132.6,155.5,199
1926,191.2,167.7,195.8,220.9,168.8,196.1,202.2,201,140.6,173.8,195.8,159.7
1927,188.7,153.9,167.6,194.8,221.9,183.9,203.7,224.4,124.8,150.2,171,160.3
1928,163.8,202.4,199.7,218.8,184.7,105.4,144.4,115,187.2,115.6,128.6,146.7
1929,201.2,208.9,211.3,187.7,146.3,189.6,226.8,240.2,109.1,110.5,103.1,117.3
1930,174.2,150.8,143.1,166.1,186.7,147.5,162.6,211,193.6,144,170.1,150.4
1931,149.5,88.9,212.5,179.9,244.5,181.7,106.5,267.2,118.3,137.3,132.8,135.8
1932,192.8,187.9,212.8,189.3,233.1,111.2,187.1,205.3,110.5,131.3,123.6,148.4
1933,141.9,172.6,127.6,104.3,219.6,185.6,215.1,218.4,206.7,147.9,148,193.3
1934,213.1,199.2,202.8,166,226.8,186.7,105,184.3,74.4,112.2,156.1,131.2
1935,193.7,143.7,193.4,182.1,200,189,181.3,172.4,100.1,163,146.2,141
